,source,target
177,LASP1,TEKT4
178,LASP1,CRYBA2
179,LASP1,TLX3
180,LASP1,RBPMS2
181,LASP1,CERCAM
182,LASP1,LENG8
183,LASP1,MGAT5B
184,LASP1,VPS37C
185,LASP1,HNRNPF
186,LASP1,EVX2
187,LASP1,CATSPER1
188,LASP1,YES1
189,LASP1,UFSP1
190,LASP1,CSTF2T
191,LASP1,MKRN3
192,LASP1,C14orf119
193,LASP1,CTNNA3
194,LASP1,DAZAP2
195,LASP1,HGS
196,LASP1,WWOX
197,LASP1,KRTAP19-6
198,LASP1,KRTAP6-2
199,LASP1,KRTAP19-4
200,LASP1,KRTAP10-8
201,LASP1,UBQLN2
202,LASP1,C19orf54
203,LASP1,NOXA1
204,LASP1,ARID5A
205,LASP1,CYSRT1
206,LASP1,KRTAP26-1
207,LASP1,QRICH1
208,LASP1,PRR20B
209,LASP1,PRR20A
210,LASP1,DOK6
211,LASP1,VGLL3
212,LASP1,KRTAP3-3
213,LASP1,KRTAP3-2
214,LASP1,KRTAP12-4
215,LASP1,PRR20D
216,LASP1,PRR20C
217,LASP1,PRR20E
218,LASP1,KRTAP19-3
219,LASP1,FBXO17
220,SNX11,ZMYND10
221,SNX11,RABAC1
222,SNX11,REEP6
223,SNX11,SMYD1
224,SNX11,NECAB1
225,SNX11,SMYD2
226,SNX11,MAJIN
227,SNX11,ARL6IP1
228,SNX11,YIF1A
229,SNX11,RPRM
230,TMEM176A,CERS4
231,TMEM176A,CD79A
232,TMEM176A,TMEM176B
233,TMEM176A,TIMMDC1
234,TMEM176A,MTIF3
235,TMEM176A,GOLM1
236,TMEM176A,RETREG3
237,TMEM176A,SCD5
238,TMEM176A,MFSD14B
239,TMEM176A,KCNK5
240,TMEM176A,SGPL1
241,TMEM176A,TMX2
242,M6PR,DUSP12
243,M6PR,KTN1
244,M6PR,SMCO4
245,M6PR,NINJ2
246,M6PR,GIMAP5
247,CFLAR,TRAF1
248,RBM5,MLYCD
249,MTMR7,MTMR9
250,MTMR7,CCNH
251,ARF5,ACY3
252,ARF5,DTX3
253,POLDIP2,DNAAF6
254,POLDIP2,CHCHD2
255,POLDIP2,AGTRAP
256,PLXND1,HOXB5
257,FKBP4,GLMN
258,KDM1A,HOMER3
259,KDM1A,LZTS1
260,KDM1A,TRAF4
261,KDM1A,KRT31
262,KDM1A,CARD10
263,KDM1A,TFIP11
264,KDM1A,CEP76
265,KDM1A,NECAB2
266,KDM1A,TTC23
267,KDM1A,TLE5
268,KDM1A,PBX4
269,KDM1A,BIRC2
270,KDM1A,NFE2L2
271,KDM1A,RCOR3
272,KDM1A,TNNT2
273,KDM1A,WASHC3
274,KDM1A,COIL
275,KDM1A,PFDN5
276,KDM1A,KRT33B
277,KDM1A,MYC
278,KDM1A,VPS37B
279,KDM1A,CCDC33
280,KDM1A,KIFC3
281,KDM1A,GAS8
282,KDM1A,RPRD1A
283,KDM1A,TP53BP2
284,KDM1A,NRBF2
285,KDM1A,TEX9
286,KDM1A,RASSF3
287,KDM1A,UBASH3B
288,KDM1A,GOLGA6A
289,KDM1A,ANKRD23
290,KDM1A,SPICE1
291,KDM1A,CAGE1
292,KDM1A,FAM204A
293,KDM1A,CEP57
294,KDM1A,ZBTB39
295,KDM1A,GOLGA2
296,KDM1A,TMEM266
297,KDM1A,FAM161A
298,KDM1A,KRT15
299,KDM1A,CCDC14
300,KDM1A,GCC1
301,KDM1A,EXOC7
302,KDM1A,KRT39
303,KDM1A,KRT35
304,KDM1A,KRT40
305,KDM1A,ZBED1
306,KDM1A,JRK
307,KDM1A,NBPF26
308,RBM6,MAPRE2
309,ARHGAP33,CYSRT1
310,NDUFAB1,LNX1
311,NDUFAB1,FNDC3B
312,NDUFAB1,VAC14
313,NDUFAB1,OIP5
314,NDUFAB1,KCTD9
315,NDUFAB1,BBC3
316,NDUFAB1,EIF3B
317,NDUFAB1,NRF1
318,NDUFAB1,SLIRP
319,NDUFAB1,ZNF410
320,NDUFAB1,TOX2
321,NDUFAB1,THAP1
322,NDUFAB1,LMO2
323,NDUFAB1,MORN3
324,NDUFAB1,FEM1A
325,NDUFAB1,NTAQ1
326,NDUFAB1,ZNF19
327,NDUFAB1,CCDC24
328,NDUFAB1,PPP1R16A
329,NDUFAB1,TLX3
330,NDUFAB1,PSMC3
331,NDUFAB1,POP5
332,NDUFAB1,HINFP
333,NDUFAB1,FHL3
334,NDUFAB1,BEX5
335,NDUFAB1,ZNF829
336,NDUFAB1,NOXA1
337,NDUFAB1,MBLAC1
338,NDUFAB1,CNTF
339,NDUFAB1,ACTN3
340,PDK4,PLEKHF2
341,ZMYND10,TBX5
342,ZMYND10,IFT43
343,ZMYND10,NUTM2F
344,ZMYND10,MTUS2
345,ZMYND10,EIF3M
346,ZMYND10,CDR1
347,ZMYND10,NUTM1
348,ZMYND10,RBM11
349,ZMYND10,TCF4
350,ZMYND10,CYSRT1
351,ZMYND10,WBP1
352,SLC4A1,CFHR5
353,SLC4A1,TMEM60
354,SLC4A1,ADAM33
355,SLC4A1,BMP10
356,HCCS,SNX1
357,HCCS,CIDEB
358,HCCS,SENP2
359,POLR2J,TRAF4
360,POLR2J,OIP5
361,POLR2J,MYOG
362,POLR2J,SDCBP
363,POLR2J,NTAQ1
364,POLR2J,VPS37C
365,POLR2J,POLR1C
366,POLR2J,SNAPC5
367,POLR2J,CCDC153
368,MEOX1,HMGB3
369,MEOX1,HOXC8
370,MEOX1,MAPK9
371,MEOX1,HOMER3
372,MEOX1,MBD3
373,MEOX1,DCX
374,MEOX1,MID2
375,MEOX1,RBM41
376,MEOX1,GEMIN2
377,MEOX1,CDC34
378,MEOX1,PPM1F
379,MEOX1,L3MBTL2
380,MEOX1,CSNK2A1
381,MEOX1,EMD
382,MEOX1,GYS1
383,MEOX1,PDE4C
384,MEOX1,UBE2R2
385,MEOX1,MLX
386,MEOX1,DUSP3
387,MEOX1,BYSL
388,MEOX1,PLCD4
389,MEOX1,C1orf109
390,MEOX1,ZNF410
391,MEOX1,POLR3GL
392,MEOX1,TRIP10
393,MEOX1,PIN1
394,MEOX1,SEC14L4
395,MEOX1,SPAG8
396,MEOX1,SDCBP
397,MEOX1,PARVG
398,MEOX1,PELI2
399,MEOX1,BNIP2
400,MEOX1,UNC45A
401,MEOX1,TXNL4B
402,MEOX1,OSGIN1
403,MEOX1,EIF4A3
404,MEOX1,TRIM41
405,MEOX1,PM20D2
406,MEOX1,HMBOX1
407,MEOX1,CCDC102B
408,MEOX1,CWF19L2
409,MEOX1,NEIL2
410,MEOX1,ZCCHC10
411,MEOX1,FAM126B
412,MEOX1,C2CD6
413,MEOX1,CNOT11
414,MEOX1,UBXN7
415,MEOX1,C1orf50
416,MEOX1,SPIC
417,MEOX1,CCDC103
418,MEOX1,TRAPPC2L
419,MEOX1,CACNB3
420,MEOX1,ACOT12
421,MEOX1,CKS1B
422,MEOX1,PCP2
423,MEOX1,TCP11L1
424,MEOX1,ANAPC2
425,MEOX1,TRIML2
426,MEOX1,MKRN3
427,MEOX1,GCC1
428,MEOX1,C14orf119
429,MEOX1,PRKAG1
430,MEOX1,INPP5J
431,MEOX1,TEX33
432,MEOX1,MCRS1
433,MEOX1,EIF4EBP1
434,MEOX1,NDOR1
435,MEOX1,KANK2
436,MEOX1,ATG9A
437,MEOX1,GPANK1
438,MEOX1,FAM187A
439,MEOX1,KCTD7
440,THSD7A,ELOVL5
441,THSD7A,AQP6
442,THSD7A,COMT
443,THSD7A,CD33
444,THSD7A,LYVE1
445,THSD7A,GOLM1
446,THSD7A,VMA21
447,THSD7A,SCN3B
448,THSD7A,TMUB2
449,THSD7A,ARL13B
450,THSD7A,HSD17B13
451,THSD7A,LHFPL1
452,CIAPIN1,GLRX3
453,CIAPIN1,CACNB3
454,CIAPIN1,NDOR1
455,FAM214B,AKAP8L
456,FAM214B,ZRANB1
457,FAM214B,TBC1D23
458,FAM214B,PRDM6
459,FAM214B,EYA2
460,FAM214B,ZMYND12
461,FAM214B,PTPN21
462,FAM214B,VPS9D1
463,FAM214B,TRAF4
464,FAM214B,MID2
465,FAM214B,PICK1
466,FAM214B,KPNA3
467,FAM214B,TLE5
468,FAM214B,LZTS2
469,FAM214B,FHL5
470,FAM214B,MDFI
471,FAM214B,FHL2
472,FAM214B,SORBS3
473,FAM214B,PFDN5
474,FAM214B,NCOA5
475,FAM214B,TRAF2
476,FAM214B,KRT34
477,FAM214B,LMO2
478,FAM214B,CALCOCO2
479,FAM214B,ABI2
480,FAM214B,SLAIN1
481,FAM214B,CCDC33
482,FAM214B,MYO1F
483,FAM214B,HSPB8
484,FAM214B,BAG4
485,FAM214B,HSF2BP
486,FAM214B,SFMBT1
487,FAM214B,MYOZ3
488,FAM214B,C7orf57
489,FAM214B,ZNF219
490,FAM214B,C11orf65
491,FAM214B,GOLGA2
492,FAM214B,TEPSIN
493,FAM214B,MYO5B
494,FAM214B,MKRN3
495,FAM214B,ZNF572
496,FAM214B,CCDC125
497,FAM214B,EFHC2
498,FAM214B,RBM11
499,FAM214B,IKZF1
500,FAM214B,WWOX
501,FAM214B,KRTAP19-6
502,FAM214B,KRTAP6-2
503,FAM214B,KRTAP19-5
504,FAM214B,KPNA5
505,FAM214B,PDLIM7
506,FAM214B,CYSRT1
507,FAM214B,ZNF655
508,FAM214B,WWP2
509,FAM214B,BHLHB9
510,FAM214B,TRIM27
511,FAM214B,KRTAP6-3
512,PRKAR2B,PRKACA
513,PRKAR2B,AKAP7
514,PRKAR2B,TAF12
515,PRKAR2B,ECM1
516,PRKAR2B,KIF5B
517,PRKAR2B,AKAP5
518,PRKAR2B,AKAP14
519,PRKAR2B,C2orf88
520,GCFC2,TFIP11
521,WDR54,NUDT22
522,KMT2E,ATP13A1
523,RHBDD2,IL32
524,RHBDD2,LETMD1
525,RHBDD2,MAOB
526,RHBDD2,SLC25A3
527,RHBDD2,FMO4
528,RHBDD2,NAALAD2
529,RHBDD2,COMT
530,RHBDD2,SNPH
531,RHBDD2,FKBP8
532,RHBDD2,MLX
533,RHBDD2,SLC25A2
534,RHBDD2,ROMO1
535,RHBDD2,TIMM17B
536,RHBDD2,BCL2L2
537,RHBDD2,MRPL35
538,RHBDD2,RSAD2
539,RHBDD2,USP30
540,RHBDD2,CIDEB
541,RHBDD2,NRM
542,RHBDD2,MYG1
543,RHBDD2,SYT16
544,RHBDD2,GCSH
545,RHBDD2,MPC2
546,RHBDD2,COL8A1
547,RHBDD2,MTERF3
548,RHBDD2,SCGB3A1
549,RHBDD2,IFI27L1
550,RHBDD2,CIAO2A
551,RHBDD2,PBX3
552,RHBDD2,ACSF2
553,RHBDD2,TSR1
554,RHBDD2,NFU1
555,RHBDD2,BCL2L1
556,RHBDD2,MMRN2
557,RHBDD2,MICOS13
558,RHBDD2,GAL3ST3
559,RHBDD2,MIEF2
560,RHBDD2,TEX44
561,RHBDD2,THBD
562,RHBDD2,TUFM
563,RHBDD2,DIABLO
564,RHBDD2,TPRG1
565,RHBDD2,MFSD14C
566,RHBDD2,DYNC1H1
567,RHBDD2,GDF5-AS1
568,RHBDD2,SDHD
569,RHBDD2,ABHD16A
570,RHBDD2,NCBP2AS2
571,RHBDD2,H4C7
572,RHBDD2,H2BC3
573,RHBDD2,MRM1
574,FBXL3,PICK1
575,FBXL3,CEP57
576,FBXL3,MSRA
577,GDE1,SLC10A1
578,REX1BD,MDFI
579,REX1BD,GPRASP2
580,REX1BD,CTAG1B
581,REX1BD,MAGEA11
582,REX1BD,MAGEA6
583,REX1BD,CTAG1A
584,TMEM98,ATP1B3
585,TMEM98,SGTA
586,TMEM98,GOLM1
587,TMEM98,STOM
588,TMEM98,SUSD3
589,TMEM98,GJB1
590,TMEM98,MUC1
591,MAP3K14,TRAF3
592,AP2B1,MLH1
593,AP2B1,TXN2
594,AP2B1,ARRB1
595,AP2B1,NUP54
596,AP2B1,TEX12
597,AP2B1,LONRF1
598,AP2B1,C2CD6
599,AP2B1,FMNL2
600,AP2B1,LDLRAP1
601,AP2B1,U2AF1
602,AP2B1,COL3A1
603,AP2B1,POM121
604,AP2B1,KANK2
605,AP2B1,NEU4
606,AP2B1,GPANK1
607,AP2B1,PSORS1C2
608,AP2B1,CCDC187
609,AP2B1,GTF2I
610,AP2B1,U2AF1L5
611,ZNF263,LNX1
612,ZNF263,GPATCH2L
613,ZNF263,PPL
614,ZNF263,TRIM41
615,ZNF263,SCAND1
616,ZNF263,JAKMIP2
617,ZNF263,ZSCAN22
618,ZNF263,ZNF165
619,TNFRSF12A,SLC30A2
620,TNFRSF12A,KRTAP3-3
621,BAIAP2L1,LANCL1
622,BAIAP2L1,BAG3
623,BAIAP2L1,BAIAP2
624,BAIAP2L1,CYSRT1
625,ALDH3B1,MID2
626,ALDH3B1,KRT34
627,ALDH3B1,KRTAP10-8
628,ALDH3B1,KRTAP1-1
629,ALDH3B1,CYSRT1
630,ALDH3B1,KRTAP12-3
631,ALDH3B1,KRTAP3-3
632,ALDH3B1,KRTAP1-3
633,ALDH3B1,KRTAP5-9
634,CCL26,PAX6
635,CCL26,C3orf52
636,USH1C,PCDHB12
637,USH1C,ENKD1
638,USH1C,PRKAA2
639,USH1C,ANKS4B
640,DBF4,CDC7
641,TBXA2R,NOX1
642,TBXA2R,VRK2
643,TBXA2R,ZDHHC15
644,TBXA2R,SLC41A1
645,TBXA2R,EMP1
646,TBXA2R,ADIPOR1
647,TBXA2R,GJB2
648,TBXA2R,TM4SF4
649,TBXA2R,ARL6IP6
650,TBXA2R,C5orf46
651,TBXA2R,MFSD5
652,TBXA2R,MS4A13
653,TBXA2R,SLC35B4
654,LGALS14,VIM
655,LGALS14,TBC1D25
656,LGALS14,SPAG5
657,LGALS14,MID2
658,LGALS14,PICK1
659,LGALS14,TRIM23
660,LGALS14,BLZF1
661,LGALS14,POF1B
662,LGALS14,AJUBA
663,LGALS14,FCHO1
664,LGALS14,GFAP
665,LGALS14,PCBD2
666,LGALS14,DDIT4L
667,LGALS14,C1QTNF2
668,LGALS14,SH3GLB2
669,LGALS14,PPM1J
670,LGALS14,FLACC1
671,LGALS14,ZBTB8A
672,LGALS14,TEPSIN
673,LGALS14,NFKBID
674,LGALS14,TEKT1
675,LGALS14,KRT19
676,LGALS14,IL16
677,LGALS14,BANP
678,LGALS14,STAT5B
679,LGALS14,CRLF3
680,LGALS14,RIMBP3C
681,LGALS14,ZNF438
682,LGALS14,TARS3
683,LGALS14,FLNA
684,LGALS14,KRT35
685,LGALS14,ZNF655
686,LGALS14,ZNF71
687,LGALS14,TRIM27
688,LGALS14,DOK6
689,LGALS14,JRK
690,LGALS14,MEI4
691,GTF2IRD1,GORASP2
692,GTF2IRD1,MRFAP1L1
693,PAF1,LEO1
694,ADIPOR2,TMBIM6
695,CDKL3,ZRANB1
696,CDKL3,RABEP1
697,CDKL3,PICK1
698,CDKL3,TRIM37
699,CDKL3,LRP2BP
700,CDKL3,FXR1
701,CDKL3,FXR2
702,CDKL3,MTUS2
703,CDKL3,PIH1D2
704,CDKL3,ZBTB8A
705,CDKL3,DISC1
706,CDKL3,ZBTB43
707,CDKL3,MCC
708,CDKL3,IKZF1
709,CDKL3,CYSRT1
710,CDKL3,KANK2
711,CDKL3,TRIM27
712,UPP2,UPP2
713,UPP2,LNX1
714,UPP2,MRPL28
715,MARK4,MED20
716,SLC13A2,GJA8
717,SLC13A2,CREB3L1
718,GAS7,GAS7
719,GAS7,CDC37
720,GAS7,LSM4
721,GAS7,NTAQ1
722,GAS7,YIF1A
723,GAS7,MCRS1
724,GAS7,NCKIPSD
725,TRAPPC6A,PAX6
726,TRAPPC6A,TRAPPC3
727,TRAPPC6A,EYA2
728,TRAPPC6A,YPEL3
729,TRAPPC6A,EFS
730,TRAPPC6A,TTC23
731,TRAPPC6A,TRIM35
732,TRAPPC6A,TAX1BP1
733,TRAPPC6A,FOXN1
734,TRAPPC6A,GORASP2
735,TRAPPC6A,LHX4
736,TRAPPC6A,PFDN5
737,TRAPPC6A,SMUG1
738,TRAPPC6A,GGA3
739,TRAPPC6A,RAB3IP
740,TRAPPC6A,KANK4
741,TRAPPC6A,UBAP2
742,TRAPPC6A,CTDSP1
743,TRAPPC6A,HSPB8
744,TRAPPC6A,SCOC
745,TRAPPC6A,BAG4
746,TRAPPC6A,GOLGA6A
747,TRAPPC6A,RUSC1
748,TRAPPC6A,IKZF3
749,TRAPPC6A,REL
750,TRAPPC6A,MYOZ3
751,TRAPPC6A,TEPSIN
752,TRAPPC6A,TRAPPC2L
753,TRAPPC6A,SERTAD3
754,TRAPPC6A,CAVIN2
755,TRAPPC6A,CD2BP2
756,TRAPPC6A,SF3B5
757,TRAPPC6A,GINS3
758,TRAPPC6A,KRTAP13-2
759,TRAPPC6A,ZFP90
760,TRAPPC6A,INCA1
761,TRAPPC6A,PRR22
762,CD79B,SGTB
763,PAX6,NCDN
764,PAX6,HMGB3
765,PAX6,RANBP3
766,PAX6,HOXC8
767,PAX6,HOMER3
768,PAX6,NFYC
769,PAX6,AP1M1
770,PAX6,UBE2K
771,PAX6,THOC1
772,PAX6,LXN
773,PAX6,GRHL2
774,PAX6,SPG21
775,PAX6,HNRNPC
776,PAX6,GEMIN2
777,PAX6,DHPS
778,PAX6,EFHC1
779,PAX6,MISP
780,PAX6,PICK1
781,PAX6,CINP
782,PAX6,CSNK2A1
783,PAX6,MAPRE1
784,PAX6,SIGLEC6
785,PAX6,PDE4C
786,PAX6,HOXA1
787,PAX6,CCDC6
788,PAX6,SRSF11
789,PAX6,C1orf109
790,PAX6,SET
791,PAX6,ZNF410
792,PAX6,WASHC3
793,PAX6,POLR3GL
794,PAX6,GCM2
795,PAX6,TRIP10
796,PAX6,PIN1
797,PAX6,USHBP1
798,PAX6,PPIL4
799,PAX6,SEC14L4
800,PAX6,MORN3
801,PAX6,MFAP1
802,PAX6,CIB3
803,PAX6,SAE1
804,PAX6,ATP6V1C2
805,PAX6,LNPK
806,PAX6,EAF1
807,PAX6,STAC
808,PAX6,FAM50B
809,PAX6,TLK2
810,PAX6,HMBOX1
811,PAX6,ATP6V0D2
812,PAX6,NGLY1
813,PAX6,MIPOL1
814,PAX6,LONRF1
815,PAX6,C2CD6
816,PAX6,RNF111
817,PAX6,LARP4
818,PAX6,LYSMD1
819,PAX6,CGGBP1
820,PAX6,UBXN7
821,PAX6,CCDC103
822,PAX6,NFKBID
823,PAX6,CHAF1A
824,PAX6,ACOT12
825,PAX6,BANP
826,PAX6,CKS1B
827,PAX6,EIF1AD
828,PAX6,TCP11L1
829,PAX6,ARIH2
830,PAX6,VCX2
831,PAX6,HOXC9
832,PAX6,PRKAG1
833,PAX6,CTNNA3
834,PAX6,UBE2F
835,PAX6,HGS
836,PAX6,CXorf38
837,PAX6,POLR3C
838,PAX6,KRTAP9-8
839,PAX6,BCL2L15
840,PAX6,ZNF124
841,PAX6,ESRRG
842,PAX6,KANK2
843,PAX6,QRICH1
844,PAX6,TLK1
845,PAX6,GPANK1
846,PAX6,PSORS1C2
847,PAX6,SPDYC
848,PAX6,MRPL53
849,PAX6,KRTAP9-3
850,PAX6,FAM187A
851,PAX6,ZBED1
852,PAX6,UBXN2B
853,PAX6,SLC12A8
854,PAX6,KCTD7
855,PAX6,CDK3
856,PAX6,GAS2L2
857,RHBDF1,LHX3
858,LUC7L,SRSF7
859,LUC7L,SRSF6
860,TEAD3,VGLL1
861,TEAD3,VGLL4
862,TEAD3,VGLL3
863,DNAJC11,LXN
864,DNAJC11,PM20D2
865,DNAJC11,VPS52
866,FMO3,SGSM3
867,FMO3,CLEC10A
868,FMO3,SACM1L
869,MYLIP,EXOSC5
870,MYLIP,GMCL1
871,MYLIP,HOOK2
872,MYLIP,ZBTB16
873,MYLIP,INO80B
874,MYLIP,KANK4
875,MYLIP,SDCBP
876,MYLIP,ADAMTSL4
877,MYLIP,DDIT4L
878,MYLIP,SCNM1
879,MYLIP,TSC1
880,MYLIP,ZNF417
881,MYLIP,NR1D2
882,MYLIP,TCEANC
883,MYLIP,ZBTB18
884,MYLIP,ZBTB42
885,MYLIP,ZNF438
886,MYLIP,EFHC2
887,MYLIP,NOXA1
888,MYLIP,FAM217B
889,MYLIP,ARID5A
890,MYLIP,PAX9
891,MYLIP,NHLRC4
892,PSMB1,ZBTB32
893,PSMB1,RWDD2A
894,PSMB1,FAM136A
895,PSMB1,TRAF1
896,PSMB1,GPBP1
897,PSMB1,GRIPAP1
898,PSMB1,TOLLIP
899,PSMB1,CDC14B
900,PSMB1,GEMIN2
901,PSMB1,KRT31
902,PSMB1,SMARCB1
903,PSMB1,CYTH4
904,PSMB1,BIRC7
905,PSMB1,CCM2L
906,PSMB1,RPRD1B
907,PSMB1,NME4
908,PSMB1,OIP5
909,PSMB1,STMN2
910,PSMB1,PYCR3
911,PSMB1,LIN7B
912,PSMB1,TLE5
913,PSMB1,LENG1
914,PSMB1,TFPT
915,PSMB1,HOXA1
916,PSMB1,AGR2
917,PSMB1,LHX3
918,PSMB1,RNF8
919,PSMB1,TRIM23
920,PSMB1,TTC33
921,PSMB1,CLPP
922,PSMB1,KRT36
923,PSMB1,TRAF2
924,PSMB1,PSMA1
925,PSMB1,KRT34
926,PSMB1,KHDC4
927,PSMB1,MTUS2
928,PSMB1,COG6
929,PSMB1,KATNBL1
930,PSMB1,XPA
931,PSMB1,HMG20A
932,PSMB1,KIFC3
933,PSMB1,SH3GL1
934,PSMB1,FAM50B
935,PSMB1,CAMK2G
936,PSMB1,VAX1
937,PSMB1,JAKMIP1
938,PSMB1,IMPACT
939,PSMB1,UBASH3B
940,PSMB1,PSMB4
941,PSMB1,MRNIP
942,PSMB1,RYBP
943,PSMB1,LZTFL1
944,PSMB1,BEND7
945,PSMB1,LMO1
946,PSMB1,SMAD3
947,PSMB1,SCARA5
948,PSMB1,MLKL
949,PSMB1,LDB2
950,PSMB1,AHSP
951,PSMB1,DDI1
952,PSMB1,KRT15
953,PSMB1,ARNT2
954,PSMB1,GTPBP2
955,PSMB1,THAP6
956,PSMB1,GADD45GIP1
957,PSMB1,GEMIN4
958,PSMB1,MKRN3
959,PSMB1,RIPPLY3
960,PSMB1,ZNF438
961,PSMB1,CTAG1B
962,PSMB1,KRTAP19-1
963,PSMB1,KRTAP15-1
964,PSMB1,NANOS3
965,PSMB1,ZNF177
966,PSMB1,PLEKHG4
967,PSMB1,ZNF774
968,PSMB1,LCE1C
969,PSMB1,BPIFA1
970,PSMB1,TRIM39
971,PSMB1,TRIM27
972,PSMB1,KRT40
973,PSMB1,ZNF688
974,PSMB1,LCE1F
975,PSMB1,KRTAP19-7
976,PSMB1,OTUD7B
977,PSMB1,CTAG1A
978,PSMB1,ZNF559-ZNF177
979,PSMB1,KRTAP7-1
980,PSMB1,PIP4K2B
981,CDKL5,MLH1
982,CAMK1G,KRTAP10-8
983,CAMK1G,KRTAP10-1
984,NADK,LNX1
985,NADK,CRY2
986,NADK,FAM124B
987,NADK,SDCBP
988,TFAP2D,AKAP8L
989,TFAP2D,ZBTB32
